municipio_entidad,departamento_entidad,codigo_municipio_ent,oferentes_prom,ind_prom_oferentes,perc_contr_cerrada_num,perc_contr_cerrada_val,HHI_cant,HHI_val,ID_cant,ID_val,ofertas_prom,ind_prom_ofertas,ganadoras,IC4K_cant,IC4K_val,perc_tiempo_adiciones,perc_valor_adiciones,ind_valor_adiciones,ind_riesgo_corrupcion,latitud,longitud
Mesetas,Meta,50330,NA,NA,30,42.06303396797717,64,78.85120426982257,10,57.70240836436042,NA,NA,9.999999999999998,100,100,0,0,0,33.40129438525452,3.2354890965,-74.14928246
Milán,Caquetá,18460,NA,NA,75,84.56598551611503,12.5,21.590411454004364,0,21.590410895888454,NA,NA,0,50,82.57295816501062,0,0,0,29.65721410319364,1.0914673554285714,-75.37655282714286
Miraflores,Boyacá,15455,NA,NA,83.33333333333333,94.353472975389,26.666666666666664,46.21057183309195,0,46.21057078984178,NA,NA,0,90,98.28358560576551,0,0,0,39.89523912856786,5.196515115,-73.14563048
Miraflores,Guaviare,95200,NA,NA,100,100,21.42857142857143,53.13574720279118,15.384615384615385,53.135747163387656,NA,NA,50,78.57142857142857,96.7748178617021,14.285714285714285,0,0,48.14371770316572,1.3606527458333333,-72.00204051583333
Miranda,Cauca,19455,NA,NA,88.09523809523809,78.08184641353458,2.7210884353741496,7.944011740734048,0.34843205574912894,7.9440115684327655,NA,NA,7.14285714285714,16.666666666666664,48.60813016736862,14.285714285714285,4.147705903790087,2.05893289467379,24.55460216379096,3.26091817275,-76.2914851825
Mistrató,Risaralda,66456,NA,NA,87.5,80.17190770708682,16.346153846153847,30.700694336784615,0,30.700693024451066,NA,NA,0,65.38461538461539,90.05622456393013,0,0,0,33.65087234896098,5.34434305325,-75.9172214
Mitú,Vaupés,97001,NA,NA,69.18421052631578,68.49823162256992,32.06343490304709,40.490960807864845,2.9961809285117558,20.654614314860307,NA,NA,14.552631578947366,41.707602339181285,75.01544655553096,19.561403508771928,9.114061177783057,4.524245642840684,33.32078201232352,1.0543108417272729,-70.29450802
Mocoa,Putumayo,86001,54.833333333333336,93.43313373253493,8.333333333333332,16.699522202546024,83.33333333333333,87.56797806263266,0,50.27191191822362,8.25,89.55696202531647,0,100,100,NA,0,0,43.72586765918692,1.1463877515454546,-76.64260125181818
Mogotes,Santander,68464,NA,NA,75,69.53635975644897,59,71.27447772878047,30,71.27447661310367,NA,NA,30,100,100,0,0,0,48.61916704411176,6.548323792,-72.94729955333334
Molagavita,Santander,68468,NA,NA,100,100,33.33333333333333,41.56065959855053,0,41.560659365028876,NA,NA,0,100,100,33.33333333333333,2.5231291027895826,1.2524883942458886,46.54572216020479,6.6568535425,-72.806002345
